GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.beans,RandomSampleBean,0,10,0,0,0,2,0,2,0,2
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.dtos,SampleDTO,7,9,0,0,3,4,2,2,2,2
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.config,ControllerExceptionHandler,0,109,0,4,0,19,0,7,0,5
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.config,ExecutorConfig,4,50,0,0,1,15,1,3,1,3
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.config,SpringDocConfig,12,58,1,1,0,17,1,3,0,3
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.config,ObjectMapperConfig,0,46,0,0,0,11,0,2,0,2
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.config,WebConfig,0,25,0,0,0,7,0,3,0,3
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.util,ScopeUtils,0,41,0,2,0,12,0,6,0,5
saedsap-demo-app,com.mercadolibre.saedsap_demo_app,Application,16,3,0,0,3,1,1,1,1,1
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.controller,PingController,0,23,0,0,0,10,0,5,0,5
saedsap-demo-app,com.mercadolibre.saedsap_demo_app.service,ParserXML,21,295,0,20,12,57,0,16,0,6
